FileSizeMB,BlockSizeMB,ThroughputMBs,CPU0,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,CPU7,CPU8,CPU9,CPU10,CPU11
3000,16777216,3.94515083100657079740e+02,2.18586387434554971776e+01,1.03538663171690696885e+01,7.50000000000000000000e+00,1.33421400264200791241e+01,1.03448275862068967967e+01,1.18265440210249686004e+01,1.05540897097625325785e+01,1.77483443708609271994e+01,7.13342140026420068466e+00,9.93377483443708619859e+00,1.80263157894736849585e+01,1.11842105263157893802e+01
3000,16777216,3.60079519961188225352e+02,7.31414868105515658669e+00,1.10709987966305654083e+01,1.15384615384615383249e+01,1.15751789976133654392e+01,7.19424460431654644310e+00,2.20623501199040745746e+01,1.18279569892473119808e+01,1.89613526570048307462e+01,6.61057692307692335021e+00,1.03489771359807463114e+01,1.72705314009661812236e+01,1.66866746698679477845e+01
3000,16777216,3.70813515411009689160e+02,1.09045848822800497402e+01,1.58415841584158414435e+01,1.46948941469489415823e+01,4.59057071960297768953e+00,4.82076637824474651950e+00,2.03726708074534172965e+01,8.81987577639751485492e+00,1.47459727385377945552e+01,2.17552533992583434497e+01,1.03105590062111804883e+01,8.39506172839506170646e+00,1.37717121588089330686e+01
3000,16777216,4.07910638200668131503e+02,2.09876543209876516016e+01,1.34510869565217383581e+01,5.42740841248303951261e+00,1.25511596180081870244e+01,8.69565217391304301486e+00,1.04904632152588543903e+01,9.07859078590785806284e+00,2.22677595628415296858e+01,1.40326975476839219681e+01,9.94550408719346101805e+00,1.20218579234972668957e+01,1.46540027137042052630e+01
3000,16777216,3.62388385887098365856e+02,1.46489104116222765839e+01,1.04693140794223822354e+01,7.29927007299269980933e+00,3.49819059107358265592e+00,1.31325301204819275824e+01,8.71670702179176615232e+00,1.32603406326034072293e+01,1.33896260554885397909e+01,1.53658536585365848026e+01,1.63636363636363633134e+01,1.48910411622276033228e+01,2.45742092457420930884e+01
3000,33554432,4.01434566567084118560e+02,1.16310160427807485206e+01,1.05405405405405403485e+01,8.63697705802968940247e+00,8.85906040268456429487e+00,1.92513368983957207092e+01,6.55080213903743313608e+00,1.25168236877523533224e+01,8.56760374832663984535e+00,1.32352941176470597640e+01,1.13941018766756041458e+01,7.40242261103633936159e+00,2.99457994579945818714e+01
3000,33554432,4.01367485781891275565e+02,8.95721925133689822474e+00,1.45748987854251002005e+01,6.66666666666666696273e+00,1.94666666666666650087e+01,8.99328859060402763248e+00,1.18193891102257637726e+01,9.59999999999999964473e+00,9.39597315436241586895e+00,1.91891891891891894772e+01,1.19946091644204848592e+01,7.53701211305518192773e+00,2.15240641711229940825e+01
3000,33554432,3.70709913190859651877e+02,1.32262051915945608727e+01,9.30521091811414358119e+00,1.74504950495049477865e+01,1.21739130434782616419e+01,6.55129789864029721258e+00,1.62531017369727059929e+01,4.07911001236093984090e+00,1.66872682323856587061e+01,2.89408866995073914552e+01,7.91100123609394234592e+00,8.68486352357320079420e+00,6.93928128872366833946e+00
3000,33554432,4.32932231241804061028e+02,3.38616714697406351320e+01,9.71014492753623237320e+00,1.17221418234442840145e+01,1.68345323741007177887e+01,9.11722141823444331976e+00,2.11901306240928875013e+01,4.63096960926193901287e+00,4.91329479768786114846e+00,1.58959537572254347992e+01,5.93342981186685936024e+00,6.37681159420289844775e+00,1.13043478260869569851e+01
3000,33554432,3.75440908416822026084e+02,1.04868913857677910073e+01,1.03620474406991256444e+01,6.63329161451814819372e+00,1.82728410513141419358e+01,7.16981132075471716547e+00,1.43749999999999982236e+01,5.24344569288389550366e+00,6.90087829360100357690e+00,4.06052963430012638923e+01,9.55974842767295740487e+00,1.16687578419071513736e+01,9.14786967418546304032e+00
3000,33554432,3.91180904738843707946e+02,8.47457627118643941344e+00,1.27107652399481185768e+01,5.11811023622047223114e+00,1.69491525423728788269e+01,8.91218872870249079199e+00,1.14023591087811269063e+01,1.37254901960784323478e+01,9.53002610966057517317e+00,1.30208333333333339255e+01,1.51832460732984291241e+01,7.98429319371727785892e+00,2.36910994764397884182e+01
3000,33554432,4.08024703447645549659e+02,1.76870748299319728858e+01,1.34510869565217383581e+01,1.00543478260869569851e+01,1.26530612244897948671e+01,2.02721088435374134917e+01,1.23287671232876707705e+01,1.73972602739726021071e+01,1.31506849315068485851e+01,7.29023383768913380010e+00,1.10054347826086953432e+01,1.24657534246575352199e+01,9.94550408719346101805e+00
3000,33554432,3.70652569678667703101e+02,7.29295426452410389118e+00,1.44963144963144969779e+01,2.34491315136476430325e+01,1.14002478314745978594e+01,1.27633209417596038548e+01,9.51792336217552481514e+00,1.91011235955056157820e+01,1.41439205955334994513e+01,8.66336633663366306735e+00,1.56596794081381016639e+01,7.94044665012406980509e+00,8.50801479654747261350e+00
3000,33554432,4.18440388982185595523e+02,1.02209944751381218708e+01,5.18207282913165290239e+00,8.05555555555555535818e+00,9.06555090655509054898e+00,1.44055944055944049609e+01,2.29691876750700281207e+01,2.41958041958041967234e+01,5.60224089635854394231e+00,1.21848739495798312760e+01,1.36235955056179776079e+01,1.80925666199158463598e+01,1.04895104895104900322e+01
3000,33554432,4.28887396043056298822e+02,1.69515669515669529233e+01,7.71428571428571352442e+00,7.41797432239657705821e+00,6.03448275862068950204e+00,2.27338129496402885366e+01,8.58369098712446287891e+00,6.12535612535612550289e+00,1.01010101010101003283e+01,1.88218390804597710542e+01,1.80774748923959833746e+01,2.29555236728837890325e+01,9.72818311874105923209e+00
3000,67108864,3.72305393178695055667e+02,1.60602258469259702167e+01,5.71428571428571441260e+00,7.72104607721046143354e+00,5.58312655086848597108e+00,1.55472636815920388642e+01,3.83561643835616408182e+01,8.96637608966376120634e+00,1.21137206427688504107e+01,9.40594059405940541296e+00,7.58706467661691519311e+00,7.72104607721046143354e+00,1.07407407407407404776e+01
