FileSizeMB,BlockSizeMB,ThroughputMBs,CPU0,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,CPU7,CPU8,CPU9,CPU10,CPU11
3000,4194304,2.79953665801952013226e+02,1.45386766076421256599e+01,8.03738317757009390618e+00,1.89493433395872408198e+01,1.32075471698113204866e+01,1.42992424242424256420e+01,1.20335820895522385143e+01,8.90346766635426511982e+00,1.27560521415270020640e+01,1.38576779026217238311e+01,1.83006535947712407619e+01,1.51315789473684212396e+01,1.60112359550561791366e+01
3000,4194304,3.17474192258349489748e+02,1.64718384697130701966e+01,1.18393234672304430433e+01,1.15957446808510642455e+01,9.96818663838812213385e+00,1.27931769722814507872e+01,1.87898089171974547185e+01,1.35306553911205078577e+01,9.10064239828693644085e+00,1.23273113708820414303e+01,1.09341825902335454401e+01,2.41639697950377581037e+01,1.40889830508474585002e+01
3000,4194304,2.35541075537080757840e+02,1.68881939014855362302e+01,1.14624505928853750447e+01,1.38364779874213841282e+01,2.40346729708431858796e+01,1.49053627760252354051e+01,1.27071823204419906972e+01,9.61386918833727399658e+00,1.01654846335697399695e+01,1.13043478260869569851e+01,1.09968354430379751108e+01,1.15930599369085172157e+01,1.18483412322274883621e+01
3000,4194304,2.95190577989055498165e+02,1.82711198428290764184e+01,1.20315581854043394117e+01,1.38751238850346876319e+01,1.03143418467583494191e+01,1.54075546719681906183e+01,1.50248756218905459292e+01,1.11770524233432233530e+01,1.32019704433497526708e+01,1.85700099304865950955e+01,9.88142292490118556714e+00,1.20553359683794472090e+01,1.38613861386138630394e+01
3000,4194304,2.79272610282892003397e+02,1.41666666666666660745e+01,1.16171003717472114403e+01,1.38157894736842123962e+01,1.06244175209692457429e+01,1.08309990662931845407e+01,1.71455050973123270808e+01,1.22429906542056077257e+01,1.35387488328664797876e+01,1.53414405986903652490e+01,1.70868347338935571145e+01,1.16495806150978573612e+01,1.58536585365853657237e+01
3000,4194304,2.94189463898539941056e+02,1.36945812807881761586e+01,1.46653543307086611236e+01,1.22428991185112643336e+01,9.50980392156862741615e+00,1.92345436702649656979e+01,1.00000000000000000000e+01,1.07108081791626084112e+01,1.47637795275590537614e+01,1.51574803149606314179e+01,1.58464566929133852113e+01,1.22287968441814598464e+01,1.76646706586826347518e+01
3000,4194304,2.90280312086169146824e+02,1.58252427184466029075e+01,7.56547041707080492046e+00,1.64251207729468617913e+01,1.78325123152709359431e+01,1.02140077821011665549e+01,1.76356589147286832997e+01,8.31721470019342312696e+00,1.44941634241245154158e+01,1.19417475728155331183e+01,1.37463697967086151408e+01,1.56310679611650495957e+01,1.37596899224806197282e+01
3000,4194304,2.79427278398799728620e+02,1.70411985018726603869e+01,2.00938967136150239412e+01,1.11006585136406386027e+01,1.35185185185185190448e+01,1.29664179104477614857e+01,1.45009416195856868370e+01,9.59031657355679634236e+00,1.34831460674157295188e+01,1.18198874296435274545e+01,1.33769878391019645392e+01,1.57250470809792854965e+01,1.08411214953271031192e+01
3000,4194304,2.33845923597859837173e+02,1.29687500000000017764e+01,2.91277258566978183296e+01,1.21855345911949690674e+01,1.43749999999999982236e+01,1.04851330203442874023e+01,1.11718750000000000000e+01,1.31971720345640228800e+01,1.20031176929072493920e+01,9.24764890282131624133e+00,9.57613814756671999362e+00,1.28144654088050309326e+01,1.18060985144644252642e+01
3000,8388608,3.12968017589637156561e+02,1.42708333333333321491e+01,1.76100628930817606488e+01,1.65618448637316575400e+01,1.57455683003128257269e+01,1.37931034482758612114e+01,9.28050052137643355366e+00,1.23949579831932776841e+01,5.94989561586638870949e+00,1.60083160083160080944e+01,1.48109243697478998314e+01,1.46750524109014683916e+01,8.25496342737722166305e+00
3000,8388608,3.30530872244529405179e+02,1.20044052863436121470e+01,1.35016465422612501612e+01,1.26807563959955515998e+01,9.75609756097560953947e+00,8.16777041942604853375e+00,1.07897664071190213519e+01,1.58888888888888892836e+01,6.28445424476295499971e+00,2.32480533926585088977e+01,8.08416389811738689275e+00,1.89520624303232985142e+01,1.90476190476190474499e+01
3000,8388608,3.10403804309025588282e+02,1.67355371900826455089e+01,1.15504682622268468606e+01,7.37279335410176539511e+00,1.55136268343815526549e+01,8.95833333333333392545e+00,1.49688149688149696459e+01,1.51767151767151773356e+01,7.65253360910031066311e+00,1.39293139293139294210e+01,1.58004158004158021811e+01,1.65625000000000000000e+01,1.52560083594566346932e+01
3000,8388608,3.33575064063091076605e+02,1.57015590200445416258e+01,1.58129175946547881892e+01,8.12013348164627224435e+00,1.71492204899777291871e+01,1.27802690582959641574e+01,9.60893854748603359894e+00,1.04677060133630295269e+01,1.55056179775280913447e+01,9.21198668146503862886e+00,1.04377104377104377164e+01,1.61797752808988768436e+01,1.74057649667405769378e+01
