FileSizeMB,BlockSizeMB,ThroughputMBs,CPU
3000,67108864,3.92101353494662134835e+02,1.23911149825783972744e+01
3000,67108864,4.04711762259360057215e+02,1.27695417789757410532e+01
3000,67108864,3.79902836050651671940e+02,1.28646934460887951701e+01
3000,67108864,3.62964461423653062866e+02,1.25239874760125236008e+01
3000,134217728,3.36775062210773342031e+02,1.24660739354234912923e+01
3000,134217728,3.22257382889787209024e+02,1.23632777478931323856e+01
3000,134217728,3.87432715851680427477e+02,1.21493310315062572613e+01
3000,134217728,3.99945873991719793139e+02,1.23150517298920902931e+01
3000,134217728,3.50912202117942285895e+02,1.24158125915080539414e+01
3000,134217728,3.39979016495101916462e+02,1.34077155824508320592e+01
3000,134217728,3.29592893449868597600e+02,1.31660867972898749656e+01
3000,134217728,3.92570729795529530293e+02,1.24043715846994526686e+01
3000,134217728,3.80113091246907799814e+02,1.22209290022219878580e+01
3000,134217728,3.38563920191004228855e+02,1.24257565758461385741e+01
3000,268435456,2.70419122598114824996e+02,1.23542246633059953353e+01
3000,268435456,3.47678711493423747925e+02,1.20637989366843889627e+01
3000,268435456,3.66499591719454826944e+02,1.33285743422394471480e+01
3000,268435456,3.23317391630476663522e+02,1.23348017621145373823e+01
3000,268435456,3.37372355169421666687e+02,1.23956085202214509877e+01
3000,268435456,3.13406790313306487405e+02,1.21352034149316132527e+01
3000,268435456,3.71201541030824216705e+02,1.23000722319678050809e+01
3000,268435456,3.54575100247245245555e+02,1.21274916123939213719e+01
3000,268435456,3.30044803582086274218e+02,1.23875114784205688778e+01
3000,268435456,3.00562954413616694183e+02,1.24968653347822442612e+01
